Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2004,3,25,4,1815,1820,2128,2136,UA,839,N613UA,373,376,337,-8,-5,JFK,LAX,2475,3,33,0,,0,0,0,0,0,0
2004,3,25,4,1304,1305,2107,2115,UA,840,N643UA,303,310,277,-8,-1,LAX,JFK,2475,6,20,0,,0,0,0,0,0,0
2004,3,25,4,1119,1120,1931,1927,UA,904,N657UA,312,307,282,4,-1,LAX,JFK,2475,10,20,0,,0,0,0,0,0,0
2004,3,25,4,655,700,1444,1503,UA,4,N603UA,289,303,270,-19,-5,LAX,JFK,2475,4,15,0,,0,0,0,0,0,0
2004,3,25,4,843,845,1702,1653,UA,10,N613UA,319,308,281,9,-2,LAX,JFK,2475,5,33,0,,0,0,0,0,0,0
2004,3,25,4,1638,1600,35,2,UA,12,N618UA,297,302,274,33,38,LAX,JFK,2475,6,17,0,,0,33,0,0,0,0
2004,3,25,4,2210,2200,615,603,UA,14,N603UA,305,303,279,12,10,LAX,JFK,2475,9,17,0,,0,0,0,0,0,0
2004,3,25,4,849,855,1147,1200,UA,15,N643UA,358,365,331,-13,-6,JFK,LAX,2475,9,18,0,,0,0,0,0,0,0
2004,3,25,4,1409,1415,1713,1717,UA,19,N604UA,364,362,342,-4,-6,JFK,LAX,2475,4,18,0,,0,0,0,0,0,0
2004,3,25,4,1148,1155,1447,1457,UA,21,N618UA,359,362,337,-10,-7,JFK,LAX,2475,7,15,0,,0,0,0,0,0,0
2004,3,25,4,1616,1625,1935,1928,UA,25,N603UA,379,363,345,7,-9,JFK,LAX,2475,15,19,0,,0,0,0,0,0,0
2004,3,25,4,704,705,1003,1010,UA,29,N654UA,359,365,323,-7,-1,JFK,LAX,2475,8,28,0,,0,0,0,0,0,0
2004,3,25,4,1508,1510,1758,1811,DL,89,N183DN,350,361,323,-13,-2,JFK,LAX,2475,9,18,0,,0,0,0,0,0,0
2004,3,25,4,822,800,1621,1612,DL,150,N16065,299,312,274,9,22,LAX,JFK,2475,9,16,0,,0,0,0,0,0,0
2004,3,25,4,1748,1740,2040,2055,DL,151,N1610D,352,375,317,-15,8,JFK,LAX,2475,10,25,0,,0,0,0,0,0,0
2004,3,25,4,1228,1230,2035,2040,DL,322,N129DL,307,310,279,-5,-2,LAX,JFK,2475,7,21,0,,0,0,0,0,0,0
2004,3,25,4,2213,2200,617,604,DL,332,N674DL,304,304,280,13,13,LAX,JFK,2475,9,15,0,,0,0,0,0,0,0
2004,3,25,4,820,820,1126,1130,DL,363,N129DL,366,370,333,-4,0,JFK,LAX,2475,11,22,0,,0,0,0,0,0,0
2004,3,25,4,2250,2155,137,103,DL,379,N175DN,347,368,322,34,55,JFK,LAX,2475,9,16,0,,0,0,0,0,0,34
2004,3,25,4,902,900,1715,1715,DL,1991,N199DN,313,315,280,0,2,LAX,JFK,2475,7,26,0,,0,0,0,0,0,0
2004,3,25,4,1705,1700,2023,2015,HP,301,N808AW,378,375,345,8,5,JFK,LAX,2475,12,21,0,,0,0,0,0,0,0
2004,3,25,4,753,800,1105,1116,HP,307,N819AW,372,376,344,-11,-7,JFK,LAX,2475,7,21,0,,0,0,0,0,0,0
2004,3,25,4,802,800,1611,1606,HP,300,N813AW,309,306,289,5,2,LAX,JFK,2475,7,13,0,,0,0,0,0,0,0
2004,3,25,4,1326,1325,2202,2131,HP,302,N820AW,336,306,289,31,1,LAX,JFK,2475,38,9,0,,0,0,0,31,0,0
2004,3,25,4,854,900,1204,1209,AA,1,N323AA,370,369,345,-5,-6,JFK,LAX,2475,5,20,0,,0,0,0,0,0,0
2004,3,25,4,853,900,1725,1710,AA,2,N327AA,332,310,283,15,-7,LAX,JFK,2475,10,39,0,,0,0,0,15,0,0
2004,3,25,4,1154,1200,1500,1501,AA,3,N338AA,366,361,336,-1,-6,JFK,LAX,2475,7,23,0,,0,0,0,0,0,0
2004,3,25,4,1229,1230,2034,2039,AA,4,N332AA,305,309,277,-5,-1,LAX,JFK,2475,10,18,0,,0,0,0,0,0,0
2004,3,25,4,2156,2200,613,604,AA,10,N324AA,317,304,280,9,-4,LAX,JFK,2475,12,25,0,,0,0,0,0,0,0
2004,3,25,4,1022,1030,1326,1332,AA,19,N339AA,364,362,339,-6,-8,JFK,LAX,2475,11,14,0,,0,0,0,0,0,0
2004,3,25,4,1756,1800,2123,2125,AA,21,N322AA,387,385,343,-2,-4,JFK,LAX,2475,4,40,0,,0,0,0,0,0,0
2004,3,25,4,1511,1500,2316,2306,AA,22,N339AA,305,306,279,10,11,LAX,JFK,2475,7,19,0,,0,0,0,0,0,0
2004,3,25,4,1954,2000,2236,2312,AA,29,N358AA,342,372,321,-36,-6,JFK,LAX,2475,3,18,0,,0,0,0,0,0,0
2004,3,25,4,2313,2315,725,714,AA,30,N322AA,312,299,281,11,-2,LAX,JFK,2475,11,20,0,,0,0,0,0,0,0
2004,3,25,4,1311,1315,2122,2131,AA,32,N323AA,311,316,286,-9,-4,LAX,JFK,2475,9,16,0,,0,0,0,0,0,0
2004,3,25,4,804,800,1112,1116,AA,33,N332AA,368,376,338,-4,4,JFK,LAX,2475,6,24,0,,0,0,0,0,0,0
2004,3,25,4,805,800,1622,1610,AA,34,N322AA,317,310,275,12,5,LAX,JFK,2475,29,13,0,,0,0,0,0,0,0
2004,3,25,4,954,1000,1819,1809,AA,40,N358AA,325,309,291,10,-6,LAX,JFK,2475,19,15,0,,0,0,0,0,0,0
2004,3,25,4,1425,1430,1728,1735,AA,117,N335AA,363,365,343,-7,-5,JFK,LAX,2475,8,12,0,,0,0,0,0,0,0
2004,3,25,4,659,700,1509,1504,AA,118,N336AA,310,304,283,5,-1,LAX,JFK,2475,10,17,0,,0,0,0,0,0,0
2004,3,25,4,1557,1600,1911,1912,AA,133,N320AA,374,372,334,-1,-3,JFK,LAX,2475,10,30,0,,0,0,0,0,0,0
2004,3,25,4,1613,1615,20,22,AA,180,N338AA,307,307,279,-2,-2,LAX,JFK,2475,14,14,0,,0,0,0,0,0,0
2004,3,25,4,1700,1700,1955,2010,AA,181,N324AA,355,370,333,-15,0,JFK,LAX,2475,7,15,0,,0,0,0,0,0,0
2004,3,25,4,1856,1900,2218,2221,AA,185,N321AA,382,381,332,-3,-4,JFK,LAX,2475,35,15,0,,0,0,0,0,0,0
